yearnest,year,nest,treatment,round,repeat.,male,female,nestlings,hatch.date,cumulative.rain,propfemale,complete,missing
2012-11,2012,11,P,1,1,0,1,3,3/2/12,190.5,1,0,2
2012-19,2012,19,P,1,1,0,1,4,3/15/12,190.5,1,0,3
2012-2,2012,2,W,1,1,0,1,3,3/24/12,191.7,1,0,2
2012-20,2012,20,W,1,1,1,1,4,3/8/12,190.5,0.5,0,2
2012-24,2012,24,W,1,1,2,0,3,3/1/12,190.5,0,0,1
2012-25,2012,25,P,1,1,1,0,3,3/8/12,190.5,0,0,2
2012-28,2012,28,W,1,1,2,0,2,2/25/12,182.2,0,1,0
2012-35A,2012,35,P,1,1,0,3,3,2/5/12,22,1,1,0
2012-40,2012,40,P,1,1,0,1,3,2/29/12,190.5,1,0,2
2012-42,2012,42,P,1,1,2,0,3,3/3/12,190.5,0,0,1
2012-51,2012,51,P,1,1,2,2,5,3/1/12,190.5,0.5,0,1
2012-52,2012,52,W,1,1,1,3,5,3/3/12,190.5,0.75,0,1
2012-57,2012,57,W,1,1,3,0,3,2/29/12,190.5,0,1,0
2012-59,2012,59,W,1,1,0,3,4,3/1/12,190.5,1,0,1
2012-65,2012,65,W,1,1,2,2,4,3/1/12,190.5,0.5,1,0
2012-68,2012,68,W,1,1,1,1,4,3/16/12,190.5,0.5,0,2
2012-7,2012,7,P,1,1,2,2,4,3/3/12,190.5,0.5,0,0
2012-74,2012,74,W,1,1,0,1,3,3/9/12,190.5,1,0,2
2012-75,2012,75,P,1,1,1,2,3,2/15/12,110.5,0.666666667,1,0
2012-76,2012,76,P,1,1,2,0,4,3/6/12,190.5,0,0,2
2012-77,2012,77,W,1,1,2,1,4,3/10/12,190.5,0.333333333,0,1
2012-87,2012,87,P,1,1,0,1,3,3/6/12,190.5,1,0,2
2012-90,2012,90,P,1,1,2,2,4,3/1/12,190.5,0.5,1,0
2012-91,2012,91,P,1,1,0,3,3,3/20/12,190.7,1,1,0
2012-92,2012,92,W,1,1,1,2,3,3/2/12,190.5,0.666666667,1,0
2013-103,2013,103,W,1,1,2,0,3,3/10/13,145,0,0,1
2013-105,2013,105,W,1,1,1,0,3,4/3/13,191,0,0,2
2013-107,2013,107,W,1,1,2,1,4,3/3/13,127.6,0.333333333,0,1
2013-108,2013,108,W,1,1,3,1,4,3/23/13,191,0.25,1,0
2013-11,2013,11,P,1,1,1,0,4,2/28/13,124.1,0,0,3
2013-110,2013,110,W,1,1,1,2,3,3/6/13,132.6,0.666666667,1,0
2013-112,2013,112,W,1,1,1,2,3,3/3/13,127.6,0.666666667,0,0
2013-115,2013,115,W,1,1,1,1,2,2/27/13,124.1,0.5,1,0
2013-118,2013,118,W,1,1,0,3,3,3/7/13,142.5,1,1,0
2013-122,2013,122,W,1,1,0,1,1,3/4/13,127.6,1,1,0
2013-125,2013,125,W,1,1,3,0,3,2/28/13,124.1,0,1,0
2013-127,2013,127,W,1,1,0,1,3,3/25/13,191,1,0,2
2013-128,2013,128,W,1,1,2,2,5,3/28/13,191,0.5,0,1
2013-129,2013,129,W,1,1,1,1,3,4/4/13,191,0.5,0,1
2013-19,2013,19,P,1,1,1,1,4,3/8/13,145,0.5,0,2
2013-35,2013,35,P,1,1,1,1,3,3/15/13,159.4,0.5,0,1
2013-42,2013,42,P,1,1,1,0,1,2/21/13,123.8,0,1,0
2013-59,2013,59,P,1,1,2,0,4,2/23/13,124.1,0,0,2
2013-65,2013,65,P,1,1,2,1,4,3/8/13,145,0.333333333,0,1
2013-66,2013,66,P,1,1,1,0,1,3/8/13,145,0,1,0
2013-74,2013,74,P,1,1,1,3,4,3/8/13,145,0.75,1,0
2013-75,2013,75,P,1,1,0,2,3,3/6/13,132.6,1,0,1
2013-86,2013,86,P,1,1,1,2,4,3/8/13,145,0.666666667,0,1
2013-87,2013,87,P,1,1,3,0,3,3/6/13,132.6,0,0,0
2013-88,2013,88,P,1,1,1,1,2,3/3/13,127.6,0.5,1,0
2013-89,2013,89,P,1,1,2,0,2,3/2/13,126.7,0,0,0
2013-90,2013,90,P,1,1,3,1,4,3/5/13,127.6,0.25,1,0
2013-91,2013,91,W,1,1,2,0,3,3/15/13,159.4,0,0,1
2013-92,2013,92,P,1,1,0,2,2,2/12/13,105,1,1,0
2013-93,2013,93,P,1,1,0,1,2,2/28/13,124.1,1,0,1
2013-95,2013,95,P,1,1,2,2,4,3/1/13,124.1,0.5,1,0
2015-100,2015,100,P,1,1,1,1,3,3/13/15,67.3,0.5,0,1
2015-103,2015,103,P,1,1,3,0,3,3/13/15,67.3,0,1,0
2015-103.2,2015,103.2,P,2,0,3,0,4,4/15/15,168.9,0,0,1
2015-108,2015,108,W,1,1,1,0,4,3/13/15,67.3,0,0,3
2015-108.2,2015,108.2,W,2,0,1,3,4,4/12/15,148.1,0.75,1,0
2015-109,2015,109,W,1,0,0,2,3,3/10/15,67.3,1,0,1
2015-109,2015,109,W,1,1,0,2,3,3/10/15,67.3,1,0,1
2015-111,2015,111,P,1,1,0,2,2,3/10/15,67.3,1,1,0
2015-115,2015,115,W,1,1,1,1,3,3/10/15,67.3,0.5,0,1
2015-115.2,2015,115.2,W,2,0,1,1,2,4/10/15,148.1,0.5,1,0
2015-117.2,2015,117.2,P,2,0,1,0,5,4/16/15,168.9,0,0,4
2015-122,2015,122,W,1,1,2,0,3,3/10/15,67.3,0,0,1
2015-129,2015,129,W,1,1,1,0,2,3/10/15,67.3,0,0,1
2015-131,2015,131,W,1,1,0,2,3,3/4/15,67.3,1,0,1
2015-131.2,2015,131.2,W,2,0,0,2,3,4/12/15,148.1,1,0,1
2015-132,2015,132,W,1,1,3,0,4,3/17/15,69.8,0,0,1
2015-137,2015,137,P,1,1,1,2,4,3/10/15,67.3,0.666666667,0,1
2015-137.2,2015,137.2,P,2,0,0,2,3,4/21/15,179.4,1,0,1
2015-138,2015,138,P,1,1,0,2,3,3/21/15,102.8,1,0,1
2015-138.2,2015,138.2,P,2,0,1,4,5,4/27/15,204,0.8,1,0
2015-140,2015,140,W,1,1,2,0,3,3/10/15,67.3,0,0,1
2015-2,2015,2,P,1,1,1,2,3,3/7/15,67.3,0.666666667,1,0
2015-2.2,2015,2.2,P,2,0,1,3,5,4/15/15,168.9,0.75,0,1
2015-20,2015,20,W,1,1,1,2,3,3/8/15,67.3,0.666666667,1,0
2015-24,2015,24,P,1,1,2,1,3,3/13/15,67.3,0.333333333,1,0
2015-24.2,2015,24.2,W,2,0,2,0,3,4/22/15,201.8,0,0,1
2015-25,2015,25,P,1,1,2,2,4,3/12/15,67.3,0.5,1,0
2015-35,2015,35,W,1,1,0,1,2,3/11/15,67.3,1,0,1
2015-35.2,2015,35.2,W,2,0,1,1,4,4/19/15,171.4,0.5,0,2
2015-42,2015,42,W,1,1,3,0,3,3/11/15,67.3,0,1,0
2015-52,2015,52,P,1,1,1,0,3,3/10/15,67.3,0,0,2
2015-52.2,2015,52.2,P,2,0,2,1,4,4/21/15,179.4,0.333333333,0,1
2015-53,2015,53,W,1,1,2,0,2,3/13/15,67.3,0,1,0
2015-59,2015,59,P,1,1,0,2,2,3/4/15,67.3,1,1,0
2015-7,2015,7,W,1,1,0,2,2,3/21/15,102.8,1,1,0
2015-74,2015,74,P,1,1,2,1,4,3/10/15,67.3,0.333333333,0,1
2015-74.2,2015,74.2,P,2,0,1,1,3,4/21/15,179.4,0.5,0,1
2015-76,2015,76,W,1,1,0,3,4,3/13/15,67.3,1,0,1
2015-77,2015,77,P,1,1,2,1,3,3/6/15,67.3,0.333333333,1,0
2015-85,2015,85,W,1,1,0,3,4,3/8/15,67.3,1,0,1
2015-88,2015,88,P,1,1,0,2,3,3/17/15,69.8,1,0,1
2015-89,2015,89,P,1,1,2,2,4,3/4/15,67.3,0.5,1,0
2015-90,2015,90,P,1,1,1,0,1,3/11/15,67.3,0,1,0
2015-91,2015,91,P,1,1,3,0,3,3/10/15,67.3,0,1,0
2015-91.2,2015,91.2,P,2,0,2,1,5,4/25/15,204,0.333333333,0,2
2015-93,2015,93,W,1,1,0,2,3,3/15/15,67.3,1,0,1
2015-95,2015,95,P,1,1,0,1,1,3/11/15,67.3,1,1,0
2015-95.2,2015,95.2,P,2,0,0,4,4,4/22/15,201.8,1,1,0
2015-98,2015,98,W,1,1,2,1,4,3/5/15,67.3,0.333333333,0,1
2015-98.2,2015,98.2,W,2,0,1,0,3,4/20/15,178.2,0,0,2
2016-100,2016,100,P,1,1,2,0,2,1/31/16,81.9,0,1,0
2016-103,2016,103,P,1,1,0,2,3,1/26/16,81.9,1,0,1
2016-107,2016,107,P,1,1,0,3,3,1/26/16,81.9,1,1,0
2016-108,2016,108,P,1,1,3,0,4,1/20/16,72.8,0,0,1
2016-110,2016,110,P,1,1,2,2,4,1/20/16,72.8,0.5,0,0
2016-111,2016,111,W,1,1,2,1,3,1/20/16,72.8,0.333333333,1,0
2016-122,2016,122,W,1,1,1,1,3,1/26/16,81.9,0.5,0,1
2016-124,2016,124,P,1,1,1,2,4,1/24/16,72.8,0.666666667,0,1
2016-128,2016,128,W,1,1,0,2,2,1/24/16,72.8,1,1,0
2016-137,2016,137,W,1,1,1,2,3,1/28/16,81.9,0.666666667,1,0
2016-140,2016,140,P,1,1,2,0,2,1/22/16,72.8,0,1,0
2016-24,2016,24,W,1,1,1,1,2,2/18/16,90.6,0.5,1,0
2016-25,2016,25,P,1,1,1,2,3,1/26/16,81.9,0.666666667,1,0
2016-40,2016,40,W,1,1,0,2,2,1/26/16,81.9,1,1,0
2016-51,2016,51,P,1,1,2,1,3,1/29/16,81.9,0.333333333,1,0
2016-52,2016,52,P,1,1,0,1,4,2/3/16,81.9,1,0,3
2016-59,2016,59,P,1,1,2,1,3,2/9/16,90.5,0.333333333,1,0
2016-74,2016,74,W,1,1,2,0,3,1/24/16,72.8,0,0,1
2016-75,2016,75,W,1,1,2,1,3,1/31/16,81.9,0.333333333,1,0
2016-76,2016,76,W,1,1,0,3,4,1/22/16,72.8,1,0,1
2016-86,2016,86,W,1,1,1,3,4,1/20/16,72.8,0.75,0,0
2016-89,2016,89,P,1,1,2,0,4,1/23/16,72.8,0,0,2
2016-91,2016,91,W,1,1,1,1,3,2/5/16,81.9,0.5,0,1
2016-92,2016,92,P,1,1,2,1,3,1/18/16,72.8,0.333333333,1,0
2016-98,2016,98,W,1,1,1,1,3,3/29/16,115.3,0.5,0,1